LST S1PAGING:;%%
RETCODE = 0  操作成功
输出结果如下：
--------------
 框号    槽号    进程号  移动国家码_移动网号  eNodeB类型  eNodeB标识  Tracking area ID  RAT类型    NB-IoT Default Paging DRX
 1       4       2       46000                MACRO_ENB   1037500     46000E3D1         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   541755      4600073C3         WB-EUTRAN  10.24秒                  
 1       4       2       46000                MACRO_ENB   541755      460001F60         NB-IoT     10.24秒                  
 1       4       2       46000                MACRO_ENB   395772      460007382         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   462898      460007434         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   54858       46000E3F9         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   278908      460007392         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   537183      46000E353         WB-EUTRAN  2.56秒                   
 1       4       2       46000                MACRO_ENB   537183      460001F4F         NB-IoT     2.56秒                   
 1       4       2       46000                MACRO_ENB   1037456     460007362         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   463058      46000E360         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   463212      460007383         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   255010      46000E360         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   54918       460007392         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   396028      460007428         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   1037460     46000E36D         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   537259      460007382         WB-EUTRAN  2.56秒                   
 1       4       2       46000                MACRO_ENB   462991      46000E360         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   255395      46000730D         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   254431      460007363         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   775760      46000744C         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   537264      460001F52         NB-IoT     2.56秒                   
 1       4       2       46000                MACRO_ENB   542100      46000E360         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   395809      46000E352         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   527283      460001F9E         NB-IoT     2.56秒                   
 1       4       2       46000                MACRO_ENB   254557      46000730D         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   55290       46000744B         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   542228      460007363         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   396156      460007433         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   527534      460001F9D         NB-IoT     2.56秒                   
 1       4       2       46000                MACRO_ENB   537659      46000E36D         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   541976      46000742C         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   255134      46000744C         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   542229      460007333         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   1038117     460007434         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   775208      460007433         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   395539      46000E36B         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   775288      4600073CF         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   396351      460007427         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   396249      46000E361         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   255740      460007373         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   1037109     46000E371         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   55499       4600073CF         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   279472      46000E3FB         WB-EUTRAN  NULL                     
